Time(min),Theta(Degrees)
2286.0,163.96170524190913
2286.0,140.03240474633046
2286.0,159.42012531961444
2286.0,101.58148483710649
2286.0,115.00316854432003
2286.0,80.20133113197338
2286.0,95.74232127737996
2286.0,30.182858692829956
2289.0,149.70339703914885
2289.0,145.3120588452849
2289.0,127.3789989301668
2289.0,80.9425411873289
2289.0,34.52489153654352
2289.0,43.52382702625025
2289.0,168.34787329812318
2289.0,125.9946431505357
2289.0,36.78958990977813
2289.0,171.36328274477734
2289.0,118.22208591311517
2292.0,168.74329067064863
2292.0,27.163938113246935
2292.0,7.087520271502339
2292.0,104.13734906116613
2292.0,7.9754919473752395
2292.0,108.78860286057893
2292.0,26.713415066708695
2292.0,145.25701751160295
2292.0,113.98389681194055
2292.0,170.88005001367262
2292.0,122.37338465266276
2295.0,26.72006540911356
2295.0,163.07416288558414
2295.0,26.67477334548207
2295.0,47.15346464444218
2295.0,13.78534603369187
2295.0,9.784353526967973
2295.0,79.97982410505458
2295.0,47.66035938016534
2295.0,86.12013390653631
2295.0,161.84266201396176
2295.0,120.85813401806365
2298.0,108.7098149786571
2298.0,92.9435830765246
2298.0,7.745489596222649
2298.0,129.43522556933178
2298.0,72.79485234805783
2298.0,42.68012118699785
2298.0,54.70743372672032
2298.0,69.65246363704148
2298.0,29.753793434084514
2298.0,74.22147808140348
2298.0,167.25875076681152
2301.0,167.3671008338122
2301.0,106.12407106525848
2301.0,84.27914650759251
2301.0,161.11002680259406
2301.0,39.911252095207665
2301.0,85.47461844372489
2301.0,6.516306656392521
2301.0,84.575429534018
2301.0,146.85617661182758
2301.0,5.943294561941935
2301.0,3.5200859794183055
2304.0,108.7219537072638
2304.0,179.93383009237493
2304.0,53.215211930619425
2304.0,68.21693044989698
2304.0,40.54653608055483
2304.0,72.3533823815356
2304.0,50.319510511284506
2304.0,136.13767437376396
2304.0,111.90350471676815
2304.0,98.68942835784728
2304.0,173.3561059213733
2307.0,93.61249188530488
2307.0,124.77185089455247
2307.0,94.8193673117386
2307.0,125.5867032914547
2307.0,173.2671328512946
2307.0,162.9653143951217
2307.0,43.530693611221395
2307.0,153.81570703534473
2307.0,160.12840908353405
2307.0,136.08949387230788
2307.0,124.23596985860219
2310.0,67.1327373517596
2310.0,25.257271840607178
2310.0,26.216878298173608
2310.0,10.854080129743055
2310.0,35.93122818114385
2310.0,4.64171624284549
2310.0,36.04757039003763
2310.0,98.04972292991157
2310.0,62.637408392608435
2310.0,23.0925160261838
2310.0,60.22852976145671
2313.0,28.376959531338326
2313.0,139.79383289388298
2313.0,38.622489465074516
2313.0,139.6543511432628
2313.0,97.86466381610678
2313.0,176.0146346558819
2313.0,113.89356572640202
2313.0,171.4515964368268
2313.0,76.42769841258348
2313.0,100.27128816789339
2313.0,173.36212095338158
2316.0,35.27637638761963
2316.0,170.63972814365454
2316.0,85.77813399725945
2316.0,73.0479513627446
2316.0,86.45334471885447
2316.0,136.95898178883934
2316.0,82.94748454813808
2316.0,108.87934129638252
2316.0,158.45907992544556
2316.0,50.20840889513276
2316.0,75.06571751311635
2319.0,15.059392794968337
2319.0,139.37187868453998
2319.0,16.27840042534796
2319.0,123.26579775066244
2319.0,53.300191291397404
2319.0,57.2497468257655
2319.0,135.91451280473927
2319.0,160.89563925100538
2319.0,178.87450905268904
2319.0,69.18378895280672
2319.0,124.52490745413495
2322.0,139.66713790035422
2322.0,41.02405222925877
2322.0,66.91783641729458
2322.0,79.53297407194351
2322.0,18.096472687252653
2322.0,147.35941765017546
2322.0,114.3312589239168
2322.0,114.27658451580731
2322.0,148.93386572471695
2322.0,106.50250970353396
2322.0,91.92132843124641
2325.0,10.993457830098933
2325.0,157.47318190523904
2325.0,143.81275060421996
2325.0,161.8145328700566
2325.0,165.53266970227585
2325.0,48.972494316345134
2325.0,163.91167878196484
2325.0,156.05108301223058
2325.0,34.04028737430892
2325.0,48.164158299210165
2325.0,83.91121085569897
2328.0,80.95811699853843
2328.0,109.56912636386961
2328.0,110.43025675150582
2328.0,115.78030722906946
2328.0,42.34891821051081
2328.0,21.1144999127469
2328.0,168.60281179171378
2328.0,169.37561399829474
2328.0,127.30067238231975
2328.0,8.840637694528532
2328.0,22.53156668651785
2331.0,22.611309290594804
2331.0,24.084618343869945
2331.0,172.32187118602704
2331.0,10.301522315146938
2331.0,164.35495352361005
2331.0,172.4516859713736
2331.0,41.495360487260356
2331.0,157.5024012305243
2331.0,119.08997253280938
2331.0,76.47495260588848
2334.0,110.31024579476801
2334.0,23.110167207681794
2334.0,9.156987737916594
2334.0,33.96659518619185
2334.0,18.670389252274937
2334.0,34.91258348977473
2334.0,70.34143847331039
2334.0,116.36242407032853
2334.0,171.22868906611023
2334.0,98.68858164258182
2337.0,145.99373618389077
2337.0,130.1370374873039
2337.0,6.4365506456053945
2337.0,123.32952300292918
2337.0,21.337977424861744
2337.0,131.03396160611862
2337.0,68.2374986488554
2337.0,151.7155058696445
2337.0,9.060580302246692
2337.0,68.85435237293507
2340.0,7.578846067521395
2340.0,32.186236363514475
2340.0,146.76791426751498
2340.0,18.747435497311795
2340.0,110.66088704538762
2340.0,22.589073041109174
2340.0,126.7540194259661
2340.0,90.48599238748368
2340.0,178.85961546456642
2340.0,144.56168213237484
2343.0,84.97875408992778
2343.0,106.47061535536241
2343.0,111.96956298603962
2343.0,157.45534943418525
2343.0,155.91497925478168
2343.0,69.80501073403306
2343.0,130.25051420583165
2343.0,8.214551545461136
2343.0,70.86789656858808
2343.0,25.449699568824965
2346.0,126.43063395510057
2346.0,46.940912061999995
2346.0,50.90532524770373
2346.0,130.47869380162936
2346.0,50.77453935292791
2346.0,69.6527921669428
2346.0,111.54382285838025
